PK_TRANSACAO,FK_CONTA,FK_CLIENTE,FK_AGENCIA,FK_COLABORADOR,NUMERO_TRANSACAO,TS_TRANSACAO,NOME_TRANSACAO,TIPO_TRASACAO,VALOR_TRANSACAO
2910,87,87,7,100,2910,2021-01-16T22:57:55.819Z,Saque,Débito,-86.97
2911,113,113,7,100,2911,2022-03-16T09:03:06.753Z,Compra Débito,Débito,-33.48
2912,512,512,5,55,2912,2017-04-06T21:12:05.771Z,Compra Débito,Débito,-8.52
2913,581,581,5,63,2913,2020-12-14T03:18:19.226Z,Compra Crédito,Débito,-10.27
2914,749,749,5,50,2914,2015-06-08T22:58:16.121Z,Compra Débito,Débito,-17.52
2915,128,128,8,6,2915,2019-03-09T15:02:35.192Z,Compra Crédito,Débito,-43.43
2916,81,81,7,71,2916,2020-03-12T04:20:53.303Z,Compra Crédito,Débito,-53.46
2917,207,207,4,57,2917,2017-08-13T01:32:36.498Z,Compra Débito,Débito,-24.2
2918,526,526,3,51,2918,2021-10-12T02:28:07.533Z,Compra Crédito,Débito,-34.14
2919,456,456,3,13,2919,2014-01-27T13:59:25.413Z,Compra Crédito,Débito,-33.14
2920,523,523,7,14,2920,2019-01-23T05:57:35.010Z,Compra Crédito,Débito,-5.45
2921,177,177,3,16,2921,2012-05-22T06:29:23.191Z,Compra Crédito,Débito,-20.91
2922,185,185,3,51,2922,2015-03-12T10:22:03.441Z,Depósito em espécie,Crédito,24.92
2923,750,750,4,19,2923,2016-04-04T03:45:40.530Z,Transferência entre CC - Crédito,Crédito,645.8
2924,39,39,2,84,2924,2015-01-07T22:10:51.770Z,Compra Crédito,Débito,-15.88
2925,899,899,1,92,2925,2021-03-12T14:56:09.071Z,Pix - Realizado,Débito,-617.7
2926,931,931,7,42,2926,2018-04-15T04:27:14.079Z,Compra Crédito,Débito,-28.96
2927,968,968,5,55,2927,2014-09-08T13:12:02.301Z,Compra Crédito,Débito,-102.25
2928,185,185,3,51,2928,2015-03-12T12:40:54.978Z,Compra Débito,Débito,-47.4
2929,869,869,3,98,2929,2021-03-12T08:16:28.244Z,Pix - Recebido,Crédito,57.0
2930,568,568,7,71,2930,2017-12-21T06:43:07.538Z,Compra Débito,Débito,-9.24
2931,29,29,3,98,2931,2020-04-04T06:50:01.946Z,Compra Débito,Débito,-60.12
2932,377,377,2,29,2932,2022-06-06T07:37:11.843Z,Pix - Recebido,Crédito,308.2
2933,615,615,4,1,2933,2018-11-20T05:29:47.877Z,Compra Débito,Débito,-29.11
2934,362,362,2,85,2934,2016-12-20T13:41:54.092Z,Compra Débito,Débito,-42.22
2935,283,283,4,19,2935,2015-02-19T08:08:14.990Z,Compra Crédito,Débito,-24.94
2936,427,427,6,4,2936,2020-06-04T17:26:08.399Z,Compra Crédito,Débito,-36.64
2937,175,175,3,13,2937,2012-12-24T03:05:57.163Z,Compra Crédito,Débito,-36.35
2938,217,217,4,57,2938,2013-12-04T13:16:41.726Z,Compra Crédito,Débito,-26.84
2939,463,463,7,100,2939,2022-02-22T05:32:40.923Z,Pix - Recebido,Crédito,242.8
2940,367,367,8,52,2940,2019-02-14T01:57:21.407Z,Compra Crédito,Débito,-30.38
2941,986,986,3,98,2941,2019-08-13T13:18:48.457Z,Compra Débito,Débito,-32.92
2942,793,793,7,71,2942,2022-12-29T02:59:38.150Z,Compra Crédito,Débito,-112.18
2943,270,270,2,95,2943,2017-04-28T09:45:32.619Z,Compra Crédito,Débito,-48.28
2944,146,146,1,80,2944,2011-05-08T18:13:46.885Z,Compra Débito,Débito,-47.87
2945,907,907,7,100,2945,2016-05-14T07:57:35.367Z,Depósito em espécie,Crédito,67.87
2946,889,889,3,91,2946,2017-06-05T02:58:15.169Z,Compra Débito,Débito,-17.49
2947,878,878,6,40,2947,2019-05-13T00:49:22.022Z,Compra Débito,Débito,-52.66
2948,121,121,7,71,2948,2017-08-07T23:41:46.902Z,Depósito em espécie,Crédito,5.5
2949,343,343,3,98,2949,2021-06-17T16:47:05.018Z,Pix - Realizado,Débito,-664.5
2950,979,979,7,71,2950,2022-12-29T05:59:54.871Z,Pix - Realizado,Débito,-137.9
2951,193,193,7,7,2951,2017-03-30T06:48:36.561Z,Compra Crédito,Débito,-32.55
2952,759,759,1,80,2952,2022-07-18T09:21:02.996Z,Pix - Recebido,Crédito,2247.4
2953,325,325,1,92,2953,2010-12-31T15:41:09.572Z,Depósito em espécie,Crédito,100.28
2954,719,719,3,51,2954,2022-01-24T14:20:49.524Z,Compra Débito,Débito,-55.09
2955,13,13,8,38,2955,2020-02-01T02:31:39.556Z,TED - Recebido,Crédito,6815.0
2956,230,230,7,7,2956,2020-11-09T09:32:45.981Z,Compra Débito,Débito,-7.5
2957,934,934,1,26,2957,2015-02-23T01:47:59.381Z,Depósito em espécie,Crédito,100.63
2958,302,302,7,71,2958,2020-05-12T18:47:32.461Z,Compra Débito,Débito,-73.65
2959,833,833,7,14,2959,2022-06-12T18:57:09.513Z,Compra Crédito,Débito,-10.65
2960,159,159,7,7,2960,2019-02-11T16:00:39.721Z,Depósito em espécie,Crédito,45.97
2961,246,246,2,86,2961,2013-01-15T12:52:07.378Z,Compra Débito,Débito,-51.82
2962,331,331,7,71,2962,2019-06-17T04:16:29.544Z,Compra Débito,Débito,-54.84
2963,318,318,3,91,2963,2020-07-05T23:22:27.333Z,Compra Débito,Débito,-17.58
2964,27,27,7,42,2964,2019-10-03T22:39:44.443Z,Compra Débito,Débito,-13.46
2965,862,862,7,7,2965,2021-02-01T22:41:08.931Z,Compra Crédito,Débito,-42.39
2966,476,476,2,95,2966,2013-07-08T13:10:55.898Z,Compra Crédito,Débito,-16.44
2967,508,508,4,1,2967,2018-10-28T06:25:41.148Z,Compra Débito,Débito,-18.63
2968,641,641,7,100,2968,2020-09-24T22:04:28.864Z,Compra Débito,Débito,-93.36
2969,933,933,8,41,2969,2021-03-28T06:19:31.404Z,Compra Crédito,Débito,-97.76
2970,903,903,7,71,2970,2018-09-19T07:25:05.663Z,Compra Crédito,Débito,-39.95
2971,303,303,3,51,2971,2014-09-19T05:19:21.245Z,Compra Débito,Débito,-32.97
2972,192,192,7,14,2972,2018-01-20T03:58:04.161Z,Compra Débito,Débito,-7.0
2973,817,817,7,100,2973,2018-05-13T00:06:30.214Z,Compra Débito,Débito,-46.91
2974,935,935,7,14,2974,2019-01-19T19:03:24.987Z,Depósito em espécie,Crédito,12.51
2975,640,640,7,71,2975,2020-11-17T11:00:04.177Z,Pix - Realizado,Débito,-195.8
2976,202,202,7,100,2976,2016-12-30T19:53:12.776Z,Compra Débito,Débito,-4.55
2977,954,954,7,33,2977,2018-03-30T08:22:44.126Z,Compra Crédito,Débito,-173.64
2978,411,411,1,75,2978,2012-12-11T17:45:48.853Z,DOC - Recebido,Crédito,56130.0
2979,582,582,7,42,2979,2021-06-10T10:19:53.866Z,Compra Débito,Débito,-34.23
2980,583,583,7,33,2980,2019-07-03T22:48:49.975Z,Compra Crédito,Débito,-50.01
2981,48,48,7,100,2981,2022-12-30T08:02:55.312Z,Compra Débito,Débito,-76.96
2982,511,511,10,17,2982,2022-07-23T05:05:35.469Z,Depósito em espécie,Crédito,62.21
2983,574,574,6,28,2983,2016-03-23T05:35:52.526Z,Compra Crédito,Débito,-19.44
2984,211,211,9,59,2984,2022-12-29T12:20:24.939Z,Depósito em espécie,Crédito,17.07
2985,551,551,1,32,2985,2016-09-24T15:13:45.047Z,Compra Crédito,Débito,-41.69
2986,215,215,9,12,2986,2021-07-03T01:58:21.467Z,Pix - Recebido,Crédito,157.6
2987,472,472,7,7,2987,2018-09-05T07:38:39.978Z,Compra Crédito,Débito,-91.48
2988,576,576,7,14,2988,2016-07-22T22:58:18.293Z,Compra Crédito,Débito,-31.57
2989,551,551,1,32,2989,2016-10-02T10:22:04.334Z,Depósito em espécie,Crédito,12.34
2990,129,129,1,32,2990,2022-07-18T21:55:00.542Z,Pix - Recebido,Crédito,253.3
2991,412,412,7,42,2991,2018-09-04T05:33:48.534Z,Compra Crédito,Débito,-16.43
2992,562,562,10,30,2992,2021-12-15T11:40:26.539Z,Compra Crédito,Débito,-32.03
2993,973,973,7,42,2993,2021-03-04T22:24:11.222Z,Compra Débito,Débito,-18.28
2994,305,305,7,71,2994,2021-04-18T22:30:38.433Z,Compra Débito,Débito,-8.48
2995,159,159,7,7,2995,2019-05-16T16:37:09.392Z,Compra Crédito,Débito,-10.86
2996,688,688,7,42,2996,2018-02-13T16:00:42.997Z,Compra Crédito,Débito,-6.91
2997,818,818,7,33,2997,2016-05-31T00:48:43.141Z,Compra Crédito,Débito,-7.63
2998,222,222,6,22,2998,2016-07-31T08:17:27.735Z,Compra Crédito,Débito,-62.95
2999,298,298,6,4,2999,2020-12-29T22:09:43.546Z,Depósito em espécie,Crédito,22.66
3000,326,326,7,100,3000,2022-11-27T04:13:47.848Z,TED - Recebido,Crédito,3880.0
3001,997,997,2,85,3001,2022-01-11T01:01:11.808Z,Compra Crédito,Débito,-37.58
3002,867,867,2,70,3002,2012-04-18T06:38:43.489Z,Compra Débito,Débito,-14.93
3003,269,269,5,63,3003,2015-05-08T08:57:38.035Z,Compra Débito,Débito,-27.3
3004,193,193,7,7,3004,2017-03-30T19:45:44.093Z,Depósito em espécie,Crédito,87.79
3005,466,466,2,95,3005,2018-03-11T00:47:54.149Z,DOC - Recebido,Crédito,51920.0
3006,135,135,1,75,3006,2020-11-10T20:10:34.240Z,Compra Crédito,Débito,-30.4
3007,565,565,4,57,3007,2019-08-10T15:10:26.452Z,Compra Crédito,Débito,-25.93
3008,31,31,6,40,3008,2016-11-11T12:34:31.640Z,Compra Crédito,Débito,-19.35
3009,276,276,5,15,3009,2017-01-12T16:16:36.401Z,Compra Crédito,Débito,-10.32
3010,910,910,4,1,3010,2018-02-20T04:51:19.853Z,Compra Crédito,Débito,-72.63
3011,305,305,7,71,3011,2021-07-25T13:41:57.002Z,Depósito em espécie,Crédito,73.53
3012,324,324,5,43,3012,2017-02-09T17:48:19.733Z,Compra Crédito,Débito,-22.16
3013,189,189,7,7,3013,2019-12-10T20:37:24.257Z,Compra Crédito,Débito,-16.59
3014,669,669,5,58,3014,2015-02-17T02:06:50.578Z,Compra Crédito,Débito,-15.13
3015,328,328,8,6,3015,2020-10-17T14:35:22.090Z,Compra Crédito,Débito,-25.07
3016,462,462,7,100,3016,2020-07-05T06:52:21.003Z,Compra Débito,Débito,-20.77
3017,943,943,7,14,3017,2017-03-09T16:55:51.592Z,Compra Débito,Débito,-22.47
3018,538,538,7,33,3018,2020-04-08T04:06:57.280Z,Compra Crédito,Débito,-51.21
3019,414,414,1,39,3019,2012-07-12T19:27:52.173Z,Estorno de Debito,Crédito,186.86
3020,618,618,7,100,3020,2022-12-03T04:11:45.220Z,Pix - Realizado,Débito,-317.7
3021,200,200,2,82,3021,2021-02-06T15:35:45.522Z,Compra Crédito,Débito,-17.82
3022,684,684,7,42,3022,2021-12-17T19:55:08.595Z,Depósito em espécie,Crédito,9.89
3023,753,753,7,33,3023,2016-11-23T05:39:37.561Z,Estorno de Debito,Crédito,43.68
3024,591,591,7,100,3024,2016-03-10T10:52:50.732Z,Compra Débito,Débito,-49.22
3025,45,45,3,91,3025,2015-12-09T04:01:32.903Z,Compra Débito,Débito,-96.13
3026,286,286,7,71,3026,2022-06-28T09:46:47.666Z,Compra Débito,Débito,-42.86
3027,758,758,5,50,3027,2016-03-08T10:35:34.464Z,Compra Crédito,Débito,-53.46
3028,134,134,5,43,3028,2019-07-24T20:17:17.404Z,Compra Crédito,Débito,-13.55
3029,438,438,8,5,3029,2020-06-18T13:44:44.440Z,Saque,Débito,-110.89
3030,494,494,7,14,3030,2022-02-15T02:04:06.784Z,Pix - Realizado,Débito,-118.2
3031,216,216,1,26,3031,2011-12-30T22:01:23.842Z,Compra Crédito,Débito,-67.87
3032,520,520,1,60,3032,2015-07-22T08:39:04.673Z,Depósito em espécie,Crédito,45.85
3033,500,500,1,3,3033,2016-11-08T17:36:40.805Z,Compra Débito,Débito,-66.55
3034,101,101,7,71,3034,2019-03-08T06:04:55.688Z,Compra Crédito,Débito,-65.31
3035,280,280,7,100,3035,2016-11-12T00:25:40.787Z,Compra Débito,Débito,-7.72
3036,22,22,1,26,3036,2014-11-19T12:26:24.968Z,Compra Crédito,Débito,-7.42
3037,994,994,7,7,3037,2015-11-21T10:06:12.963Z,Depósito em espécie,Crédito,10.55
3038,573,573,7,71,3038,2022-09-27T16:02:40.800Z,Compra Débito,Débito,-10.08
3039,736,736,3,98,3039,2016-11-07T00:12:24.570Z,Compra Crédito,Débito,-11.12
3040,966,966,7,14,3040,2021-08-23T22:35:26.023Z,Pix - Recebido,Crédito,1596.4
3041,757,757,1,60,3041,2010-07-31T01:36:25.464Z,Compra Crédito,Débito,-274.89
3042,510,510,1,80,3042,2016-01-20T20:39:36.882Z,Compra Crédito,Débito,-39.95
3043,75,75,1,32,3043,2012-03-20T09:48:05.749Z,Compra Crédito,Débito,-6.81
3044,527,527,7,33,3044,2019-04-03T05:19:44.204Z,Compra Crédito,Débito,-267.77
3045,210,210,3,91,3045,2012-05-04T21:17:41.629Z,Depósito em espécie,Crédito,85.39
3046,418,418,8,47,3046,2021-02-10T14:47:33.530Z,Pix - Realizado,Débito,-139.5
3047,362,362,2,85,3047,2016-12-21T20:13:40.442Z,Depósito em espécie,Crédito,68.06
3048,854,854,6,96,3048,2021-03-06T05:34:13.369Z,Compra Crédito,Débito,-11.98
3049,110,110,3,31,3049,2013-10-18T22:39:40.487Z,Saque,Débito,-268.86
3050,314,314,7,100,3050,2020-10-19T06:11:13.082Z,Compra Débito,Débito,-24.5
3051,656,656,2,81,3051,2017-01-28T09:46:11.991Z,Compra Crédito,Débito,-60.38
3052,808,808,3,31,3052,2013-08-25T13:50:14.090Z,Compra Crédito,Débito,-21.01
3053,26,26,8,38,3053,2021-08-07T13:26:32.881Z,Pix - Recebido,Crédito,211.6
3054,179,179,3,98,3054,2012-10-25T07:44:35.207Z,Compra Crédito,Débito,-29.82
3055,486,486,7,33,3055,2021-12-07T21:01:12.000Z,Pix - Recebido,Crédito,625.5
3056,671,671,3,91,3056,2014-11-05T01:24:41.697Z,Compra Débito,Débito,-111.62
3057,407,407,7,42,3057,2022-04-02T05:54:25.520Z,Pix - Recebido,Crédito,359.1
3058,268,268,4,19,3058,2018-03-27T19:37:03.126Z,Compra Crédito,Débito,-21.89
3059,197,197,4,35,3059,2020-04-26T10:28:24.446Z,Compra Crédito,Débito,-35.13
3060,790,790,7,7,3060,2021-08-13T22:07:39.723Z,Compra Crédito,Débito,-35.74
3061,723,723,7,14,3061,2016-10-23T07:49:41.006Z,Compra Débito,Débito,-49.58
3062,730,730,8,69,3062,2020-06-04T23:03:02.852Z,Compra Crédito,Débito,-5.72
3063,384,384,3,98,3063,2018-07-20T19:49:26.169Z,Depósito em espécie,Crédito,35.0
3064,87,87,7,100,3064,2021-10-13T06:45:51.622Z,Pix - Recebido,Crédito,2075.7
3065,702,702,7,42,3065,2022-03-08T14:47:10.600Z,Compra Crédito,Débito,-10.39
3066,636,636,1,39,3066,2013-06-11T10:33:34.510Z,Compra Crédito,Débito,-32.42
3067,953,953,7,7,3067,2021-03-06T03:53:56.459Z,Pix - Realizado,Débito,-386.1
3068,193,193,7,7,3068,2017-04-11T18:54:32.902Z,Compra Crédito,Débito,-59.88
3069,640,640,7,71,3069,2020-11-23T11:27:23.985Z,Pix - Realizado,Débito,-114.9
3070,127,127,5,34,3070,2015-09-15T17:21:48.384Z,Compra Débito,Débito,-2.59
3071,160,160,3,98,3071,2013-04-11T17:06:49.530Z,DOC - Recebido,Crédito,17185.0
3072,848,848,6,88,3072,2019-09-16T11:06:31.028Z,Compra Débito,Débito,-17.03
3073,122,122,7,100,3073,2018-05-16T17:02:16.852Z,Compra Débito,Débito,-46.66
3074,651,651,7,7,3074,2016-01-19T02:37:54.163Z,Compra Débito,Débito,-26.11
3075,962,962,7,14,3075,2018-10-10T10:43:47.022Z,Compra Crédito,Débito,-45.82
3076,611,611,6,48,3076,2022-12-20T13:13:08.775Z,Compra Débito,Débito,-7.89
3077,408,408,7,100,3077,2022-08-12T10:25:13.581Z,Pix - Realizado,Débito,-122.5
3078,839,839,5,50,3078,2022-09-12T20:45:46.015Z,Pix - Realizado,Débito,-169.3
3079,385,385,4,19,3079,2019-09-23T15:47:35.567Z,Compra Crédito,Débito,-100.22
3080,601,601,7,7,3080,2015-10-18T13:50:07.601Z,Compra Débito,Débito,-68.31
3081,970,970,3,31,3081,2015-02-17T03:52:33.546Z,Compra Débito,Débito,-28.52
3082,967,967,7,100,3082,2021-05-07T07:23:54.408Z,Compra Débito,Débito,-20.43
3083,655,655,7,42,3083,2020-09-26T11:12:23.182Z,Compra Débito,Débito,-12.08
3084,770,770,7,14,3084,2021-04-01T14:29:11.378Z,Compra Débito,Débito,-12.62
3085,93,93,1,92,3085,2020-05-16T02:30:17.382Z,Compra Crédito,Débito,-9.22
3086,378,378,9,83,3086,2022-10-19T16:22:25.365Z,Compra Crédito,Débito,-70.88
3087,190,190,7,14,3087,2022-09-03T05:20:19.561Z,Compra Débito,Débito,-26.55
3088,595,595,2,29,3088,2021-09-15T08:03:25.039Z,Compra Crédito,Débito,-9.75
3089,163,163,2,84,3089,2022-06-03T21:03:52.143Z,Compra Débito,Débito,-24.29
3090,732,732,4,1,3090,2020-03-26T06:12:46.635Z,Compra Crédito,Débito,-29.29
3091,995,995,7,33,3091,2018-05-17T22:50:31.144Z,Compra Débito,Débito,-6.22
3092,745,745,3,51,3092,2019-02-20T08:09:55.684Z,Compra Débito,Débito,-29.65
3093,985,985,7,33,3093,2021-07-05T12:15:21.614Z,Pix - Recebido,Crédito,317.3
3094,373,373,2,86,3094,2011-10-18T13:32:42.251Z,Compra Débito,Débito,-51.25
3095,981,981,10,17,3095,2022-09-17T02:58:51.604Z,Transferência entre CC - Crédito,Crédito,637.0
3096,732,732,4,1,3096,2022-08-27T18:54:57.460Z,Compra Crédito,Débito,-91.51
3097,833,833,7,14,3097,2022-06-13T10:53:26.346Z,Depósito em espécie,Crédito,24.29
3098,325,325,1,92,3098,2011-01-01T11:11:11.424Z,Compra Crédito,Débito,-74.83
3099,112,112,4,19,3099,2022-11-12T15:29:10.990Z,Compra Crédito,Débito,-27.83
3100,253,253,7,14,3100,2018-01-29T02:51:39.528Z,Compra Crédito,Débito,-13.57
3101,37,37,3,98,3101,2012-06-10T14:03:26.842Z,Compra Crédito,Débito,-13.72
3102,326,326,7,100,3102,2022-12-16T19:32:07.130Z,Pix - Recebido,Crédito,757.2
3103,338,338,7,42,3103,2021-09-07T04:15:24.995Z,Pix - Recebido,Crédito,456.9
3104,46,46,7,33,3104,2019-03-13T02:42:29.840Z,Compra Crédito,Débito,-12.35
3105,166,166,7,14,3105,2021-02-02T03:12:00.851Z,Compra Débito,Débito,-44.8
3106,923,923,7,71,3106,2021-01-20T17:53:14.611Z,Pix - Realizado,Débito,-131.3
3107,909,909,3,98,3107,2017-08-25T16:27:12.839Z,Compra Crédito,Débito,-8.92
3108,581,581,5,63,3108,2020-12-14T05:15:37.641Z,Compra Débito,Débito,-59.99
3109,254,254,7,100,3109,2022-12-11T19:06:50.337Z,Compra Crédito,Débito,-69.33
3110,256,256,7,42,3110,2021-10-29T16:06:10.997Z,Compra Crédito,Débito,-108.84
3111,28,28,2,76,3111,2016-12-24T07:52:12.579Z,Compra Débito,Débito,-136.48
3112,957,957,3,73,3112,2015-01-20T10:30:40.706Z,Compra Crédito,Débito,-83.95
3113,788,788,1,80,3113,2012-10-15T07:12:02.862Z,Compra Crédito,Débito,-53.08
3114,105,105,7,7,3114,2016-05-22T20:43:20.847Z,Compra Débito,Débito,-15.34
3115,623,623,1,32,3115,2021-09-12T02:44:47.511Z,Compra Crédito,Débito,-15.89
3116,842,842,7,33,3116,2019-07-05T22:31:42.471Z,Compra Crédito,Débito,-156.3
3117,469,469,7,33,3117,2018-09-15T18:37:45.915Z,Compra Crédito,Débito,-24.05
3118,377,377,2,29,3118,2022-06-06T09:52:18.437Z,Compra Crédito,Débito,-33.02
3119,506,506,8,38,3119,2020-03-29T05:11:11.555Z,Compra Débito,Débito,-36.71
3120,7,7,6,48,3120,2022-08-03T15:45:23.652Z,Compra Débito,Débito,-21.55
3121,61,61,1,11,3121,2013-01-26T07:55:03.246Z,Compra Crédito,Débito,-11.98
3122,638,638,3,73,3122,2020-07-07T05:11:13.517Z,Compra Crédito,Débito,-30.71
3123,947,947,4,57,3123,2021-08-22T09:44:17.557Z,Compra Crédito,Débito,-66.99
3124,404,404,4,19,3124,2020-06-03T12:41:24.062Z,Compra Crédito,Débito,-12.99
3125,481,481,7,42,3125,2022-08-14T02:44:51.083Z,Saque,Débito,-87.1
3126,287,287,7,42,3126,2019-01-05T00:26:21.010Z,Saque,Débito,-86.97
3127,79,79,4,35,3127,2014-01-22T00:01:13.359Z,Compra Crédito,Débito,-30.43
3128,944,944,7,7,3128,2021-11-23T10:34:37.263Z,Compra Crédito,Débito,-29.92
3129,947,947,4,57,3129,2021-08-25T06:24:43.703Z,Depósito em espécie,Crédito,108.54
3130,687,687,8,38,3130,2019-08-17T13:47:24.322Z,Compra Crédito,Débito,-65.82
3131,735,735,7,7,3131,2019-05-05T09:28:48.051Z,Compra Crédito,Débito,-26.6
3132,969,969,2,76,3132,2020-12-17T16:53:01.775Z,Pix - Realizado,Débito,-136.6
3133,797,797,3,13,3133,2017-07-28T01:42:25.880Z,Saque,Débito,-422.47
3134,553,553,5,43,3134,2021-11-13T20:04:21.666Z,Transferência entre CC - Crédito,Crédito,100.3
3135,929,929,1,60,3135,2022-08-31T03:02:04.905Z,Pix - Recebido,Crédito,230.2
3136,822,822,5,34,3136,2022-07-26T11:41:22.212Z,Compra Crédito,Débito,-81.96
3137,465,465,3,98,3137,2018-06-20T19:40:45.672Z,Compra Crédito,Débito,-24.44
3138,11,11,4,19,3138,2021-10-07T11:23:38.674Z,Compra Crédito,Débito,-29.06
3139,78,78,7,42,3139,2022-09-02T08:22:15.649Z,Compra Crédito,Débito,-51.91
3140,115,115,2,84,3140,2021-01-03T11:35:53.617Z,Compra Crédito,Débito,-13.04
3141,203,203,7,7,3141,2022-05-23T09:09:26.578Z,Compra Crédito,Débito,-17.31
3142,555,555,5,49,3142,2021-01-07T22:32:43.577Z,Pix - Recebido,Crédito,1929.3
3143,307,307,6,54,3143,2018-05-25T22:18:21.534Z,Compra Crédito,Débito,-38.31
3144,147,147,7,42,3144,2019-03-21T01:16:20.621Z,Compra Crédito,Débito,-175.52
3145,563,563,1,62,3145,2021-01-20T06:55:33.994Z,Compra Crédito,Débito,-111.08
3146,970,970,3,31,3146,2022-10-03T08:05:28.471Z,Pix - Recebido,Crédito,58.9
3147,97,97,3,13,3147,2020-02-16T11:15:03.452Z,TED - Recebido,Crédito,10690.0
3148,837,837,5,15,3148,2020-06-20T17:16:42.407Z,Compra Crédito,Débito,-24.61
3149,615,615,4,1,3149,2018-12-07T21:54:28.522Z,Compra Crédito,Débito,-58.06
3150,538,538,7,33,3150,2020-04-08T12:03:10.559Z,Compra Crédito,Débito,-76.15
3151,767,767,7,33,3151,2017-01-03T01:34:41.183Z,Compra Débito,Débito,-5.86
3152,879,879,3,31,3152,2012-12-11T15:42:33.213Z,Compra Crédito,Débito,-9.95
3153,36,36,7,14,3153,2020-01-26T22:17:16.231Z,Compra Crédito,Débito,-22.64
3154,538,538,7,33,3154,2020-10-18T00:02:07.306Z,Compra Crédito,Débito,-22.79
3155,681,681,7,42,3155,2020-09-04T05:00:04.498Z,Compra Débito,Débito,-15.91
3156,194,194,9,46,3156,2020-04-30T18:11:08.152Z,Compra Crédito,Débito,-5.35
3157,784,784,3,91,3157,2014-03-20T23:30:04.110Z,Compra Crédito,Débito,-25.28
3158,101,101,7,71,3158,2019-05-31T18:51:36.827Z,Compra Crédito,Débito,-25.96
3159,340,340,4,35,3159,2015-01-03T10:03:33.024Z,Compra Crédito,Débito,-80.79
3160,88,88,7,71,3160,2018-09-17T22:45:34.242Z,Compra Crédito,Débito,-16.41
3161,425,425,5,67,3161,2014-11-05T22:37:17.984Z,Compra Crédito,Débito,-191.19
3162,285,285,2,82,3162,2018-06-06T09:15:48.384Z,Compra Débito,Débito,-23.23
3163,323,323,7,14,3163,2022-02-13T21:28:36.913Z,Compra Crédito,Débito,-36.51
3164,967,967,7,100,3164,2021-05-07T10:42:55.627Z,Pix - Recebido,Crédito,345.9
3165,794,794,7,33,3165,2018-11-21T22:50:04.219Z,Compra Crédito,Débito,-15.26
3166,729,729,7,14,3166,2021-12-19T07:42:25.996Z,Compra Débito,Débito,-37.6
3167,15,15,7,33,3167,2019-10-13T18:40:29.673Z,Compra Débito,Débito,-35.68
3168,844,844,7,7,3168,2017-05-13T06:01:37.146Z,Compra Crédito,Débito,-4.43
3169,48,48,7,100,3169,2022-12-30T12:24:49.667Z,Pix - Recebido,Crédito,256.5
3170,461,461,6,28,3170,2017-07-10T06:23:10.956Z,Compra Débito,Débito,-63.91
3171,33,33,9,93,3171,2020-03-02T20:56:43.510Z,Compra Débito,Débito,-175.66
3172,161,161,6,44,3172,2020-01-06T14:32:07.499Z,Compra Crédito,Débito,-22.09
3173,627,627,7,33,3173,2017-06-15T10:48:22.223Z,Compra Crédito,Débito,-14.42
3174,251,251,5,63,3174,2017-09-08T01:02:26.256Z,Compra Crédito,Débito,-75.2
3175,570,570,4,1,3175,2019-03-07T11:28:39.052Z,Saque,Débito,-60.95
3176,7,7,6,48,3176,2022-08-04T15:05:14.990Z,Depósito em espécie,Crédito,15.88
3177,170,170,7,100,3177,2021-11-04T08:47:49.621Z,Pix - Recebido,Crédito,2153.7
3178,436,436,1,18,3178,2017-05-22T21:43:48.822Z,Compra Débito,Débito,-15.93
3179,223,223,7,14,3179,2020-06-25T02:28:09.530Z,Depósito em espécie,Crédito,248.42
3180,572,572,2,86,3180,2015-02-14T22:53:25.837Z,Compra Crédito,Débito,-151.46
3181,954,954,7,33,3181,2018-05-03T07:43:04.062Z,Compra Crédito,Débito,-18.09
3182,221,221,4,45,3182,2018-07-26T22:17:47.670Z,Compra Crédito,Débito,-57.65
3183,183,183,1,62,3183,2019-06-02T02:51:29.395Z,Depósito em espécie,Crédito,42.07
3184,29,29,3,98,3184,2020-04-28T06:57:55.136Z,Compra Débito,Débito,-25.99
3185,773,773,2,82,3185,2011-05-09T08:03:45.253Z,Compra Crédito,Débito,-16.44
3186,273,273,2,95,3186,2022-09-02T09:29:09.337Z,Saque,Débito,-309.31
3187,799,799,2,85,3187,2012-10-24T22:57:12.840Z,TED - Recebido,Crédito,4290.0
3188,314,314,7,100,3188,2020-10-25T06:38:53.048Z,TED - Recebido,Crédito,13595.0
3189,14,14,1,11,3189,2021-12-04T10:52:55.164Z,Compra Crédito,Débito,-249.19
3190,911,911,7,14,3190,2022-04-08T22:18:30.133Z,Pix Saque,Débito,-46.62
3191,32,32,8,69,3191,2019-02-21T11:57:45.182Z,Compra Débito,Débito,-21.72
3192,734,734,1,75,3192,2013-11-14T00:05:19.487Z,DOC - Recebido,Crédito,97160.0
3193,154,154,7,33,3193,2018-05-19T01:23:21.416Z,Saque,Débito,-142.45
3194,739,739,7,100,3194,2016-03-31T02:47:54.338Z,Compra Crédito,Débito,-56.89
3195,636,636,1,39,3195,2013-06-13T11:12:07.937Z,Compra Crédito,Débito,-8.07
3196,731,731,7,7,3196,2022-09-11T05:20:32.744Z,Compra Débito,Débito,-13.65
3197,10,10,3,98,3197,2015-12-16T14:47:14.765Z,Compra Débito,Débito,-24.78
3198,914,914,5,55,3198,2015-03-28T20:54:07.298Z,Depósito em espécie,Crédito,29.77
